iter	RMSE
232	31123.49325
233	30961.70517
234	30803.24337
235	30648.04559
236	30496.0508
237	30347.19924
238	30330.35753
239	30184.4913
240	30168.08138
241	30025.14863
242	29885.19275
243	29748.15802
244	29602.93705
245	29569.82182
246	29546.05853
247	29414.29468
248	29285.30116
249	29159.0257
250	29024.86381
251	28993.72486
252	28973.39335
253	28938.41156
254	28816.81716
255	28688.07551
256	28571.46256
257	28457.33937
258	28345.65801
259	28236.3714
260	28119.8645
261	28015.10534
262	27899.65441
263	27870.07564
264	27769.46679
265	27670.37884
266	27646.77793
267	27550.28672
268	27455.30633
269	27430.36943
270	27337.43262
271	27238.63038
272	27225.85258
273	27184.84409
274	27095.68401
275	27008.54991
276	26996.54584
277	26970.49864
278	26947.26256
279	26861.81274
280	26844.9708
281	26761.48569
282	26738.85841
283	26708.58311
284	26618.97521
285	26538.93524
286	26517.86812
287	26432.24678
288	26403.61688
289	26378.15486
290	26301.32749
291	26285.75338
292	26259.38101
293	26236.35608
294	26228.55129
295	26220.97679
296	26205.41399
297	26172.0969
298	26146.13746
299	26108.9445
300	26101.8922
301	26095.04587
302	26088.39847
303	26081.94326
304	26075.67379
305	26045.03708
306	26038.93779
307	26016.44343
308	25994.88678
309	25981.55059
310	25954.6573
311	25941.90895
312	25921.4865
313	25893.21612
314	25865.35463
315	25840.26315
316	25793.00602
317	25764.00488
318	25682.3591
319	25659.72936
320	25649.98492
321	25570.68481
322	25549.23827
323	25528.34569
324	25508.80243
325	25429.39146
326	25403.53164
327	25386.00722
328	25357.72123
329	25336.44305
330	25310.4737
331	25291.60648
332	25273.49171
333	25199.10868
334	25194.20308
335	25177.4951
336	25169.73935
337	25097.40765
338	25077.92825
339	25042.55344
340	25021.40277
341	24998.01641
342	24970.9886
343	24963.37354
344	24930.13417
345	24914.62147
346	24897.03219
347	24872.6105
348	24858.19597
349	24833.41183
350	24763.20716
351	24753.04902
352	24736.50263
353	24716.85596
354	24707.825
355	24699.04387
356	24681.7447
357	24665.04343
358	24650.39178
359	24581.80919
360	24576.23947
361	24563.455
362	24524.36246
363	24492.65891
364	24481.01928
365	24472.59724
366	24442.5698
367	24420.2222
368	24383.13554
369	24317.77565
370	24297.90878
371	24276.56769
372	24265.20227
373	24256.9935
374	24236.79662
375	24173.10268
376	24144.60707
377	24139.46415
378	24131.4915
379	24123.73522
380	24103.48003
381	24093.914
382	24075.79688
383	24068.23296
384	24053.51032
385	24030.1038
386	24018.08779
387	24001.27944
388	23994.00288
389	23984.51124
390	23965.19708
391	23948.04784
392	23921.96578
393	23897.19678
394	23890.06544
395	23884.14788
396	23875.62038
397	23871.09745
398	23864.27548
399	23855.52811
400	23845.91109
401	23839.2644
402	23832.79554
403	23824.03547
404	23777.69878
405	23758.61511
406	23753.20629
407	23687.62881
408	23676.96903
409	23650.77457
410	23623.2989
411	23607.55294
412	23602.24427
413	23588.54189
414	23575.37513
415	23562.71753
416	23554.77235
417	23537.47913
418	23519.94745
419	23506.46785
420	23494.34666
421	23473.13011
422	23429.38869
423	23422.5137
424	23410.81534
425	23395.99698
426	23384.73161
427	23327.1491
428	23270.97976
429	23259.33703
430	23248.3547
431	23237.71094
432	23219.77213
433	23203.32282
434	23193.20263
435	23138.23852
436	23128.44406
437	23105.00586
438	23095.23607
439	23041.47466
440	23032.20538
441	23019.41539
442	23010.49878
443	23001.90526
444	22949.24284
445	22931.96864
446	22923.64236
447	22866.8238
448	22816.53205
449	22767.46771
450	22719.59889
451	22696.87027
452	22688.72325
453	22641.91886
454	22634.02507
455	22626.4134
456	22611.94105
457	22604.6094
458	22558.75561
459	22551.64546
460	22501.89879
461	22458.17194
462	22446.26535
463	22419.78995
464	22411.9784
465	22370.6746
466	22325.68455
467	22297.2057
468	22283.61229
469	22252.3323
470	22236.41532
471	22211.86753
472	22169.2294
473	22155.04798
474	22137.7318
475	22125.29343
476	22113.48846
477	22096.50585
478	22057.70763
479	22017.05172
480	22000.62713
481	21968.86044
482	21926.54582
483	21924.5762
484	21906.08275
485	21889.39887
486	21868.00953
487	21849.52302
488	21843.24261
489	21815.54385
490	21814.17988
491	21797.15794
492	21791.82399
493	21761.97693
494	21725.46097
495	21723.64966
496	21697.58087
497	21686.36913
498	21670.64511
499	21654.94038
500	21641.19664
501	21638.2471
502	21609.42934
503	21596.39554
504	21588.96342
505	21584.03045
506	21580.52019
507	21572.44523
508	21569.4388
509	21562.51309
510	21555.78529
511	21538.93592
512	21532.3923
513	21486.94765
514	21466.84035
515	21462.80746
516	21451.1342
517	21416.93667
518	21384.82745
519	21381.64305
520	21339.08272
521	21336.01015
522	21333.06296
523	21330.23449
524	21297.9392
525	21295.21601
526	21287.12146
527	21284.50234
528	21274.4978
529	21264.23425
530	21232.18072
531	21228.9248
532	21221.73204
533	21190.4674
534	21183.96296
535	21153.45108
536	21145.46735
537	21131.29839
538	21125.59012
539	21095.80467
540	21089.9157
541	21086.72755
542	21083.6327
543	21069.57164
544	21039.40822
545	21010.23148
546	21001.24494
547	20973.38471
548	20960.14745
549	20931.37294
550	20904.65507
551	20877.4569
552	20874.51088
553	20847.7318
554	20833.72524
555	20831.52789
556	20828.79606
557	20815.63645
558	20801.50485
559	20795.782
560	20769.74291
561	20764.17004
562	20738.77611
563	20725.47426
564	20720.12159
565	20691.60582
566	20677.07426
567	20652.70643
568	20647.49401
569	20623.74509
570	20594.03655
571	20577.95609
572	20554.72737
573	20546.22937
574	20539.9074
575	20534.67906
576	20507.71855
577	20497.6033
578	20470.31953
579	20456.65582
580	20443.92892
581	20430.38777
582	20418.52417
583	20411.34095
584	20408.10081
585	20379.43903
586	20372.2054
587	20367.40178
588	20339.58268
589	20336.23791
590	20309.12111
591	20294.23073
592	20284.62248
593	20281.27672
594	20266.35716
595	20260.44329
596	20247.35782
597	20242.16549
598	20216.29514
599	20211.27346
600	20206.41788
601	20199.97884
602	20189.18361
603	20184.50899
604	20174.60239
605	20154.0721
606	20142.02913
607	20133.52537
608	20113.44706
609	20110.89221
610	20102.76265
611	20100.7673
612	20089.99987
613	20075.8816
614	20066.61438
615	20060.34128
616	20043.38354
617	20023.92351
618	20016.24806
619	20002.79623
620	19989.81229
621	19977.06802
622	19964.53383
623	19956.41592
624	19950.29464
625	19939.19609
626	19934.84006
627	19930.51807
628	19918.04191
629	19906.10386
630	19896.73369
631	19889.79989
632	19883.19884
633	19876.71043
634	19872.09573
635	19863.78115
636	19845.35381
637	19836.4616
638	19824.56156
639	19816.72855
640	19813.86216
641	19808.70275
642	19796.30851
643	19788.89483
644	19778.84032
645	19760.91756
646	19743.44737
647	19723.12697
648	19711.91435
649	19710.26836
650	19703.49012
651	19695.92643
652	19676.44797
653	19663.16436
654	19659.16562
655	19649.99441
656	19645.7384
657	19640.48107
658	19636.84724
659	19625.91842
660	19623.15627
661	19613.66877
662	19609.1621
663	19602.79127
664	19585.8646
665	19581.11204
666	19562.98564
667	19559.02757
668	19553.4135
669	19536.87165
670	19525.91546
671	19513.17807
672	19508.36919
673	19504.07564
674	19487.89883
675	19481.69573
676	19465.92701
677	19455.67728
678	19440.29733
679	19431.089
680	19421.80957
681	19417.43096
682	19409.36129
683	19402.01855
684	19398.13294
685	19389.52244
686	19383.63751
687	19382.70291
688	19378.73967
689	19376.90581
690	19361.75812
691	19357.13412
692	19346.93649
693	19340.11224
694	19335.63762
695	19326.77493
696	19312.16982
697	19306.32431
698	19301.91473
699	19285.73543
700	19271.46813
701	19268.51684
702	19265.5164
703	19255.81386
704	19249.5966
705	19246.01035
706	19241.80622
707	19230.45113
708	19226.51706
709	19222.99792
710	19219.00855
711	19208.90676
712	19206.09031
713	19196.71487
714	19186.04768
715	19173.74186
716	19167.26848
717	19160.65381
718	19151.8673
719	19148.39563
720	19142.53866
721	19141.72516
722	19128.09341
723	19123.78675
724	19115.37073
725	19104.23135
726	19093.60214
727	19080.38975
728	19077.10234
729	19064.21426
730	19056.2486
731	19051.0181
732	19041.78797
733	19038.52808
734	19030.94694
735	19030.17681
736	19017.67277
737	18991.36921
738	18984.01258
739	18971.74223
740	18970.99599
741	18956.07052
742	18951.55386
743	18947.437
744	18943.6061
745	18937.10131
746	18930.02678
747	18924.63699
748	18918.39264
749	18917.67324
750	18911.17076
751	18906.11536
752	18899.87326
753	18893.73475
754	18886.77236
755	18883.3313
756	18877.66594
757	18875.72069
758	18869.0547
759	18862.4173
760	18855.45961
761	18845.0717
762	18841.43296
763	18838.1166
764	18831.45254
765	18824.34506
766	18817.56971
767	18809.68536
768	18797.78015
769	18790.37342
770	18786.64876
771	18782.14004
772	18773.69569
773	18761.09766
774	18750.47132
775	18747.41798
776	18741.68719
777	18732.51724
778	18731.48556
779	18725.40715
780	18719.33511
781	18693.66098
782	18685.83068
783	18683.55563
784	18678.63399
785	18675.74871
786	18669.8236
787	18654.72595
788	18651.90219
789	18650.0786
790	18644.76163
791	18639.13273
792	18637.10971
793	18630.47158
794	18623.3723
795	18614.00541
796	18612.43648
797	18607.0884
798	18599.31048
799	18594.91711
800	18585.93958
801	18578.22635
802	18561.11656
803	18558.0897
804	18555.289
805	18553.56392
806	18544.05047
807	18541.47967
808	18535.85154
809	18532.97159
810	18518.62037
811	18513.42727
812	18510.62515
813	18501.56074
814	18498.95017
815	18494.77276
816	18491.17225
817	18487.19991
818	18482.23585
819	18468.20011
820	18459.80278
821	18454.47923
822	18446.60937
823	18432.96377
824	18429.09827
825	18425.33992
826	18412.04139
827	18408.38235
828	18406.32791
829	18402.76506
830	18398.99709
831	18394.07393
832	18384.34882
833	18380.87554
834	18377.50991
835	18364.58686
836	18361.31541
837	18359.39398
838	18357.3738
839	18351.48086
840	18348.0035
841	18344.8316
842	18340.00261
843	18333.61508
844	18326.42217
845	18311.64291
846	18308.05562
847	18299.05867
848	18293.89071
849	18290.50698
850	18289.1616
851	18288.36405
852	18283.35547
853	18280.28575
854	18275.6234
855	18270.09494
856	18267.10487
857	18265.19648
858	18258.34872
859	18255.45091
860	18251.32419
861	18231.97022
862	18226.77702
863	18224.95131
864	18221.69709
865	18215.71772
866	18211.86499
867	18203.55173
868	18200.73842
869	18195.91272
870	18190.63952
871	18187.33335
872	18184.11729
873	18179.55932
874	18175.77745
875	18172.65373
876	18169.61445
877	18163.84666
878	18160.63142
879	18157.75639
880	18154.27828
881	18144.80864
882	18136.41663
883	18130.58704
884	18127.01451
885	18124.88854
886	18120.63655
887	18118.18324
888	18113.88213
889	18112.22073
890	18106.87472
891	18099.13256
892	18096.27447
893	18094.70479
894	18090.9109
895	18086.49645
896	18080.55802
897	18076.72214
898	18074.3944
899	18071.07648
900	18065.62759
901	18040.29164
902	18038.3658
903	18033.14631
904	18030.21738
905	18028.00848
906	18023.00126
907	18017.42485
908	18013.90967
909	18010.09135
910	18008.04635
911	18006.44572
912	18000.06108
913	17987.73808
914	17981.2427
915	17977.95196
916	17961.80288
917	17957.0984
918	17955.67244
919	17954.26243
920	17953.01382
921	17950.33995
922	17944.18026
923	17941.13705
924	17937.86401
925	17935.66498
926	17923.91605
927	17922.78168
928	17921.71861
929	17914.54596
930	17913.07829
931	17911.92302
932	17907.74775
933	17904.75134
934	17903.71373
935	17900.8001
936	17898.51408
937	17895.24675
938	17886.07977
939	17883.24874
940	17879.18021
941	17878.09268
942	17875.02438
943	17873.14637
944	17867.88037
945	17865.6764
946	17862.91857
947	17847.7135
948	17841.7856
949	17839.68212
950	17834.76643
951	17832.07949
952	17829.38465
953	17826.76791
954	17823.65668
955	17820.78438
956	17810.00384
957	17808.6836
958	17808.03455
959	17807.12061
960	17805.76187
961	17801.54155
962	17790.8103
963	17789.90118
964	17786.53559
965	17784.34104
966	17782.39554
967	17777.75752
968	17771.71855
969	17769.15238
970	17760.56591
971	17757.94495
972	17757.0909
973	17749.82989
974	17748.77339
975	17744.2053
976	17742.64027
977	17742.22401
978	17734.28385
979	17729.0977
980	17724.76022
981	17717.86104
982	17701.57813
983	17700.62212
984	17699.74406
985	17697.24983
986	17694.82222
987	17692.65778
988	17689.91753
989	17687.29306
990	17685.24515
991	17676.87437
992	17673.28151
993	17669.48511
994	17667.47492
995	17659.51074
996	17644.25718
997	17638.42863
998	17636.63397
999	17634.26076
